Customer Name,Mobile,Outlet,Order DateTime,Items,Total Price (INR)
Suhana Biswas,+911618021425,Kondapur,2025-05-05 20:15:38,Nutella Cream Cheese Kunafa,399
Mishti Wali,+914739396904,Kondapur,2025-05-01 18:19:42,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Ishaan Shetty,7909485098,Kondapur,2025-05-21 03:48:58,"Pista Finger Baklava, Triangle Baklava",798
Rasha Venkataraman,+915036380926,Kondapur,2025-05-05 08:16:18,"Almond Basbousa, Kunafa Chocolate, Nutella Cream Cheese Kunafa",1047
Ojas Sharaf,4652584081,Kondapur,2025-05-21 18:57:22,"Kataifi Cream Cheese Kunafa, Pista Finger Baklava",798
Ranbir Dube,9876310881,Kondapur,2025-05-25 19:57:46,Pista Finger Baklava,399
Akarsh Sant,3990610907,Kondapur,2025-05-02 07:31:11,"Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava, Kataifi Cream Cheese Kunafa",1247
Darshit Bassi,+917735779707,Kondapur,2025-05-02 14:29:07,Pista Finger Baklava,399
Manjari Brahmbhatt,+918092102230,Kondapur,2025-05-13 04:26:59,"Pista Finger Baklava, Kataifi Cream Cheese Kunafa, Kunafa Chocolate",1147
Yashvi Deo,1246505093,Kondapur,2025-05-13 11:44:28,"Triangle Baklava, Cashew Basbousa",698
Veer Jani,+910901974607,Kondapur,2025-05-02 04:40:29,"Nutella Cream Cheese Kunafa, Almond Basbousa",698
Shaan Chaudhari,229464687,Kondapur,2025-05-17 13:16:55,"Mixed Dry-Fruit Baklava, Kunafa Chocolate",798
Abram Lad,8039845306,Kondapur,2025-05-09 01:04:38,"Triangle Baklava, Kunafa Chocolate, Almond Basbousa",1047
Fateh Gour,+914380126962,Kondapur,2025-05-21 23:45:04,"Kunafa Chocolate, Mixed Dry-Fruit Baklava",798
Mamooty Keer,3185552400,Kondapur,2025-05-23 16:22:49,"Kataifi Cream Cheese Kunafa, Triangle Baklava",798
Jayan Venkatesh,741693728,Kondapur,2025-05-26 06:00:31,"Mixed Dry-Fruit Baklava, Kunafa Chocolate",798
Samiha Kari,7778676147,Kondapur,2025-05-20 05:26:30,"Almond Basbousa, Nutella Cream Cheese Kunafa, Triangle Baklava",1097
Divyansh Sachdev,+916019340838,Kondapur,2025-05-08 21:53:42,"Triangle Baklava, Kataifi Cream Cheese Kunafa, Kunafa Chocolate",1147
Oorja Chander,+914596501065,Kondapur,2025-05-20 02:12:58,"Cashew Basbousa, Triangle Baklava",698
Anaya Gulati,+918524395738,Kondapur,2025-05-03 08:41:24,"Pista Finger Baklava, Almond Basbousa",698
Uthkarsh Saran,3202933409,Kondapur,2025-05-08 14:59:15,"Mixed Dry-Fruit Baklava, Almond Basbousa, Pista Finger Baklava",1147
Krish Bhardwaj,+913970883879,Kondapur,2025-05-05 19:56:08,"Mixed Dry-Fruit Baklava, Nutella Cream Cheese Kunafa",848
Advika Chand,7768912658,Kondapur,2025-05-05 17:20:08,"Almond Basbousa, Triangle Baklava",698
Rania Mani,6569394626,Kondapur,2025-05-27 13:22:33,Cashew Basbousa,299
Ryan Golla,352983706,Kondapur,2025-05-09 03:19:53,"Triangle Baklava, Mixed Dry-Fruit Baklava, Kunafa Chocolate",1197
Himmat Sandal,8828129038,Kondapur,2025-05-10 06:26:24,"Triangle Baklava, Kataifi Cream Cheese Kunafa",798
Mamooty Vora,5698139957,Kondapur,2025-05-12 21:52:00,"Pista Finger Baklava, Triangle Baklava, Kunafa Chocolate",1147
Aaryahi Verma,5052913313,Kondapur,2025-05-06 05:13:47,"Pista Finger Baklava, Nutella Cream Cheese Kunafa",798
Krish Sankaran,2769640721,Kondapur,2025-05-12 18:13:54,"Kataifi Cream Cheese Kunafa, Triangle Baklava, Almond Basbousa",1097
Arnav Gill,6264309024,Kondapur,2025-05-18 04:44:18,"Cashew Basbousa, Kunafa Chocolate, Pista Finger Baklava",1047
Jhanvi Kumar,9755301431,Kondapur,2025-05-27 20:32:36,"Kunafa Chocolate, Cashew Basbousa",648
Ishaan Bhatt,+912280900643,Kondapur,2025-05-19 04:26:32,"Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava, Triangle Baklava",1247
Ivan Walla,8223673929,Kondapur,2025-05-16 19:53:44,Triangle Baklava,399
Armaan Ratti,+913539964106,Kondapur,2025-05-15 01:05:46,"Mixed Dry-Fruit Baklava, Almond Basbousa",748
Khushi Shukla,+912252267338,Kondapur,2025-05-16 03:46:41,"Cashew Basbousa, Almond Basbousa, Triangle Baklava",997
Gokul Thakkar,+919801897503,Kondapur,2025-05-26 05:12:09,Triangle Baklava,399
Nishith Dhar,+914477599207,Kondapur,2025-05-14 06:39:24,"Mixed Dry-Fruit Baklava, Triangle Baklava, Nutella Cream Cheese Kunafa",1247
Hrishita Bhalla,+918511582863,Kondapur,2025-05-10 13:23:05,Kunafa Chocolate,349
Kavya Rout,+913385849064,Kondapur,2025-05-28 10:45:12,Cashew Basbousa,299
Madhup Das,9781145434,Kondapur,2025-05-13 08:27:40,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Purab Chaudhary,+915842228367,Kondapur,2025-05-27 11:26:55,"Pista Finger Baklava, Kunafa Chocolate, Almond Basbousa",1047
Amira Shere,206458250,Kondapur,2025-05-22 00:12:23,"Nutella Cream Cheese Kunafa, Triangle Baklava, Cashew Basbousa",1097
Seher Dasgupta,+918166855534,Kondapur,2025-05-15 22:10:47,"Cashew Basbousa, Mixed Dry-Fruit Baklava",748
Keya Sastry,3005442145,Kondapur,2025-05-27 10:18:17,Kataifi Cream Cheese Kunafa,399
Vivaan Walia,+914042070017,Kondapur,2025-05-20 10:48:47,"Kataifi Cream Cheese Kunafa, Cashew Basbousa",698
Saira Handa,4675799163,Kondapur,2025-05-20 12:37:51,"Mixed Dry-Fruit Baklava, Kunafa Chocolate",798
Anay Gala,5240550873,Kondapur,2025-05-16 16:14:19,"Triangle Baklava, Mixed Dry-Fruit Baklava, Cashew Basbousa",1147
Hrishita Solanki,8538255897,Kondapur,2025-05-13 04:54:49,"Kunafa Chocolate, Kataifi Cream Cheese Kunafa, Mixed Dry-Fruit Baklava",1197
Faiyaz Rastogi,9168010912,Kondapur,2025-05-25 17:09:22,Cashew Basbousa,299
Vedika Lanka,3493586191,Kondapur,2025-05-22 06:40:53,Nutella Cream Cheese Kunafa,399
Eshani Saha,3236984427,Kondapur,2025-05-15 07:24:50,Kataifi Cream Cheese Kunafa,399
Drishya Kata,+918399902196,Kondapur,2025-05-15 01:48:47,Almond Basbousa,299
Raunak Sampath,9495199053,Kondapur,2025-05-25 03:44:32,"Cashew Basbousa, Kataifi Cream Cheese Kunafa",698
Sana Tandon,+916529032338,Kondapur,2025-05-11 03:04:15,Nutella Cream Cheese Kunafa,399
Raghav Sur,498747286,Kondapur,2025-05-31 04:20:35,"Triangle Baklava, Mixed Dry-Fruit Baklava, Kunafa Chocolate",1197
Shalv Bumb,9445099665,Kondapur,2025-05-17 06:29:22,"Mixed Dry-Fruit Baklava, Nutella Cream Cheese Kunafa, Triangle Baklava",1247
Mehul Vaidya,2812575771,Kondapur,2025-05-28 17:55:02,Kataifi Cream Cheese Kunafa,399
Anahi Bora,+915593078731,Kondapur,2025-05-23 06:04:24,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Charvi Sridhar,+914676596794,Kondapur,2025-05-29 09:59:53,"Mixed Dry-Fruit Baklava, Triangle Baklava",848
Yasmin Sankar,7540544784,Kondapur,2025-05-01 11:51:51,"Mixed Dry-Fruit Baklava, Cashew Basbousa",748
Aaina Brahmbhatt,5328854668,Kondapur,2025-05-08 05:06:00,"Nutella Cream Cheese Kunafa, Pista Finger Baklava",798
Divit Kannan,9596364166,Kondapur,2025-05-23 21:11:24,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Azad Shah,468585024,Kondapur,2025-05-04 17:27:30,Almond Basbousa,299
Mehul Shankar,7291604490,Kondapur,2025-05-29 10:38:04,Mixed Dry-Fruit Baklava,449
Tarini Wable,981129873,Kompally,2025-05-17 07:09:47,"Mixed Dry-Fruit Baklava, Kunafa Chocolate, Pista Finger Baklava",1197
Hunar Mannan,6070886966,Kompally,2025-05-27 05:28:50,Mixed Dry-Fruit Baklava,449
Ela Roy,180207703,Kompally,2025-05-13 21:31:01,"Nutella Cream Cheese Kunafa, Almond Basbousa, Kataifi Cream Cheese Kunafa",1097
Mehul Sekhon,+917995344798,Kompally,2025-05-02 08:43:17,Mixed Dry-Fruit Baklava,449
Vihaan Baria,6527128279,Kompally,2025-05-21 18:00:40,"Triangle Baklava, Kataifi Cream Cheese Kunafa, Nutella Cream Cheese Kunafa",1197
Nirvaan Dada,+910017111093,Kompally,2025-05-07 20:05:19,Triangle Baklava,399
Alia Tella,+914662837848,Kompally,2025-05-24 21:27:34,"Cashew Basbousa, Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava",1147
Raghav Sarma,+917226119815,Kompally,2025-05-23 04:47:54,"Cashew Basbousa, Almond Basbousa, Kataifi Cream Cheese Kunafa",997
Rhea Magar,+913430594277,Kompally,2025-05-23 07:50:52,Triangle Baklava,399
Vritika Talwar,4854417475,Kompally,2025-05-05 08:42:01,"Kunafa Chocolate, Pista Finger Baklava",748
Jivika Sahni,285710983,Kompally,2025-05-29 05:22:05,Kunafa Chocolate,349
Diya Kalla,+912771958756,Kompally,2025-05-18 13:23:20,Almond Basbousa,299
Nirvaan Dash,3519468844,Kompally,2025-05-27 14:53:59,"Pista Finger Baklava, Kunafa Chocolate",748
Jhanvi Kumer,+910475114372,Kompally,2025-05-22 01:11:34,"Almond Basbousa, Cashew Basbousa, Pista Finger Baklava",997
Anay Varughese,5491125484,Kompally,2025-05-16 03:13:37,Mixed Dry-Fruit Baklava,449
Anahi Sheth,+915389123081,Kompally,2025-05-16 19:42:33,"Triangle Baklava, Mixed Dry-Fruit Baklava",848
Aaina Doctor,5793429154,Kompally,2025-05-10 13:10:11,"Cashew Basbousa, Almond Basbousa, Pista Finger Baklava",997
Vanya Khalsa,7292954347,Kompally,2025-05-06 15:43:21,Kunafa Chocolate,349
Bhamini Choudhary,3918654646,Kompally,2025-05-23 02:42:14,Cashew Basbousa,299
Nitya Sidhu,3521079893,Kompally,2025-05-06 02:26:40,"Almond Basbousa, Triangle Baklava",698
Ahana  Rattan,1005508188,Kompally,2025-05-30 09:30:35,"Almond Basbousa, Nutella Cream Cheese Kunafa",698
Sana Sule,5863338428,Kompally,2025-05-07 15:28:02,"Mixed Dry-Fruit Baklava, Kunafa Chocolate, Almond Basbousa",1097
Mohanlal Kulkarni,+912600990982,Kompally,2025-05-18 16:13:56,"Triangle Baklava, Nutella Cream Cheese Kunafa",798
Neysa Kapur,1205697195,Kompally,2025-05-26 13:02:11,"Triangle Baklava, Mixed Dry-Fruit Baklava",848
Aarush Bose,8276909082,Kompally,2025-05-04 07:42:44,"Pista Finger Baklava, Nutella Cream Cheese Kunafa, Kataifi Cream Cheese Kunafa",1197
Manikya Arya,9651268785,Kompally,2025-05-20 07:28:29,"Cashew Basbousa, Kunafa Chocolate, Pista Finger Baklava",1047
Vedika Chad,2987264982,Kompally,2025-05-28 13:15:25,Almond Basbousa,299
Jivin Jhaveri,297827006,Kompally,2025-05-12 06:24:15,"Nutella Cream Cheese Kunafa, Pista Finger Baklava, Mixed Dry-Fruit Baklava",1247
Shanaya Hayer,1572065826,Kompally,2025-05-10 21:06:40,Kataifi Cream Cheese Kunafa,399
Dhanuk Kuruvilla,4933090372,Kompally,2025-05-16 08:26:18,"Mixed Dry-Fruit Baklava, Nutella Cream Cheese Kunafa",848
Alia Ganesan,3718255507,Kompally,2025-05-13 14:19:24,"Pista Finger Baklava, Kunafa Chocolate",748
Armaan Krish,+913739728158,Kompally,2025-05-15 13:09:17,"Pista Finger Baklava, Kunafa Chocolate",748
Manikya Jani,+916245609993,Kompally,2025-05-23 01:26:03,"Kataifi Cream Cheese Kunafa, Almond Basbousa",698
Gatik Dora,+915452324213,Kompally,2025-05-08 02:31:22,Triangle Baklava,399
Aniruddh Luthra,8376818299,Kompally,2025-05-11 14:30:32,Pista Finger Baklava,399
Anay Hans,2949291390,Kompally,2025-05-04 08:08:04,"Mixed Dry-Fruit Baklava, Kataifi Cream Cheese Kunafa, Pista Finger Baklava",1247
Adira Brahmbhatt,+911275280756,Kompally,2025-05-02 16:05:35,"Pista Finger Baklava, Cashew Basbousa, Triangle Baklava",1097
Damini Dutta,1512914278,Kompally,2025-05-15 09:22:31,Almond Basbousa,299
Nirvaan Kalita,+918237765396,Kompally,2025-05-23 02:45:08,"Mixed Dry-Fruit Baklava, Pista Finger Baklava",848
Krish Bala,7140453931,Kompally,2025-05-19 16:56:46,Cashew Basbousa,299
Renee Saha,4426149417,Kompally,2025-05-07 05:23:40,"Triangle Baklava, Pista Finger Baklava, Almond Basbousa",1097
Kabir Mangat,7349467367,Kompally,2025-05-14 23:45:05,"Pista Finger Baklava, Triangle Baklava",798
Alia Uppal,+918157364420,Kompally,2025-05-16 14:28:45,Pista Finger Baklava,399
Biju Sane,6210915899,Kompally,2025-05-03 06:58:45,"Mixed Dry-Fruit Baklava, Triangle Baklava",848
Samarth Bal,1460658659,Kompally,2025-05-23 09:30:16,"Kunafa Chocolate, Kataifi Cream Cheese Kunafa, Cashew Basbousa",1047
Manikya Kakar,7485347510,Kompally,2025-05-23 23:21:33,"Cashew Basbousa, Pista Finger Baklava, Triangle Baklava",1097
Romil Chander,6357694072,Kompally,2025-05-19 02:41:32,"Triangle Baklava, Cashew Basbousa, Mixed Dry-Fruit Baklava",1147
Krish Shan,6179903659,Kompally,2025-05-14 20:49:04,"Cashew Basbousa, Triangle Baklava",698
Ayesha Ravi,2836394743,Kompally,2025-05-30 23:55:00,"Kunafa Chocolate, Pista Finger Baklava",748
Aaryahi Keer,1581786764,Kompally,2025-05-29 08:05:56,Cashew Basbousa,299
Priyansh Baria,4472724327,Kompally,2025-05-30 16:42:46,Cashew Basbousa,299
Anahita Majumdar,7758000239,Kompally,2025-05-18 18:45:29,"Kunafa Chocolate, Pista Finger Baklava",748
Shamik Varghese,3137252494,Kompally,2025-05-31 03:52:02,Almond Basbousa,299
Nirvaan Bahri,+911962685236,Kompally,2025-05-18 15:37:53,"Kataifi Cream Cheese Kunafa, Kunafa Chocolate",748
Navya Bora,+912141213101,Kompally,2025-05-21 16:34:28,"Kunafa Chocolate, Mixed Dry-Fruit Baklava, Kataifi Cream Cheese Kunafa",1197
Heer Sharma,9807382633,Kompally,2025-05-11 04:08:38,"Pista Finger Baklava, Almond Basbousa",698
Darshit Mander,6092290007,Kompally,2025-05-10 08:19:30,"Mixed Dry-Fruit Baklava, Nutella Cream Cheese Kunafa",848
Taimur Kulkarni,4199065283,Kompally,2025-05-17 02:42:15,"Kataifi Cream Cheese Kunafa, Pista Finger Baklava, Kunafa Chocolate",1147
Badal Keer,+915560194159,Kompally,2025-05-12 20:38:36,"Kataifi Cream Cheese Kunafa, Almond Basbousa",698
Tanya Mann,6378711712,Kompally,2025-05-12 23:38:30,"Triangle Baklava, Cashew Basbousa, Almond Basbousa",997
Vivaan Chatterjee,7653999533,Kompally,2025-05-19 22:54:49,Almond Basbousa,299
Misha Hayre,3997312591,Kompally,2025-05-27 15:05:54,Kataifi Cream Cheese Kunafa,399
Yashvi Iyengar,1022941147,Kompally,2025-05-23 18:03:16,Cashew Basbousa,299
Tanya Dasgupta,+913920042031,Kompally,2025-05-07 23:53:02,"Kataifi Cream Cheese Kunafa, Mixed Dry-Fruit Baklava",848
Ivan Suri,+919027303512,Kompally,2025-05-29 20:23:18,"Kunafa Chocolate, Almond Basbousa, Pista Finger Baklava",1047
Nishith Saxena,3752643647,Kompally,2025-05-21 03:12:35,"Triangle Baklava, Kunafa Chocolate, Pista Finger Baklava",1147
Amani Ramachandran,+911353948049,Kompally,2025-05-02 21:05:40,"Almond Basbousa, Kunafa Chocolate, Cashew Basbousa",947
Zaina Chopra,+910450884735,Kompally,2025-05-25 08:39:39,"Kataifi Cream Cheese Kunafa, Kunafa Chocolate",748
Tanya Deol,+912013377845,Kompally,2025-05-20 19:32:16,"Pista Finger Baklava, Triangle Baklava",798
Madhav Chacko,5646089144,Kompally,2025-05-04 10:37:15,"Kataifi Cream Cheese Kunafa, Kunafa Chocolate",748
Samar Chandra,6067062133,Kompally,2025-05-16 23:57:07,"Pista Finger Baklava, Almond Basbousa, Kataifi Cream Cheese Kunafa",1097
Kavya Kanda,8100632797,Kompally,2025-05-25 23:27:07,"Kataifi Cream Cheese Kunafa, Almond Basbousa",698
Farhan Kapur,7079753886,Kompally,2025-05-25 07:51:33,Almond Basbousa,299
Taimur Johal,1979880118,Kompally,2025-05-27 22:41:34,"Cashew Basbousa, Nutella Cream Cheese Kunafa",698
Kashvi Gopal,6539295360,Kompally,2025-05-09 13:10:15,"Kunafa Chocolate, Cashew Basbousa, Kataifi Cream Cheese Kunafa",1047
Sumer Rege,1748261281,Kompally,2025-05-16 06:53:03,"Cashew Basbousa, Almond Basbousa",598
Biju Suri,972615168,Kompally,2025-05-24 16:48:14,"Pista Finger Baklava, Kunafa Chocolate",748
Chirag Kaul,9692812198,Kompally,2025-05-18 05:20:50,Almond Basbousa,299
Yakshit Ganesh,6070926677,Kompally,2025-05-13 12:45:26,"Kunafa Chocolate, Mixed Dry-Fruit Baklava, Triangle Baklava",1197
Kavya Choudhary,4692903444,Kompally,2025-05-14 17:32:22,"Almond Basbousa, Triangle Baklava, Kataifi Cream Cheese Kunafa",1097
Ranbir Kar,+918783618175,Kompally,2025-05-18 07:01:04,Mixed Dry-Fruit Baklava,449
Onkar Seth,8913535048,Kompally,2025-05-01 19:50:10,Cashew Basbousa,299
Advika Dayal,5323381381,Kompally,2025-05-12 13:20:09,"Triangle Baklava, Cashew Basbousa",698
Sahil Dara,+916439146827,Kompally,2025-05-19 00:34:03,"Cashew Basbousa, Kunafa Chocolate",648
Urvi Chahal,8426418655,Kompally,2025-05-10 02:51:21,"Kataifi Cream Cheese Kunafa, Cashew Basbousa, Nutella Cream Cheese Kunafa",1097
Raunak Wable,8952791834,Kompally,2025-05-21 18:10:52,Pista Finger Baklava,399
Bhamini Taneja,7507464034,Kompally,2025-05-01 13:07:44,"Mixed Dry-Fruit Baklava, Kataifi Cream Cheese Kunafa, Nutella Cream Cheese Kunafa",1247
Rhea Barman,+918614550071,Kompally,2025-05-15 01:19:11,"Cashew Basbousa, Triangle Baklava",698
Inaaya  Varma,+916705799972,Kompally,2025-05-02 23:30:23,"Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava, Almond Basbousa",1147
Jivika Karpe,2574299197,Kompally,2025-05-15 21:59:56,Triangle Baklava,399
Anahi Varghese,+917237616310,Kompally,2025-05-22 08:27:28,"Pista Finger Baklava, Kataifi Cream Cheese Kunafa",798
Rania Anand,2787505659,Kompally,2025-05-12 18:29:46,"Kunafa Chocolate, Kataifi Cream Cheese Kunafa",748
Dishani Deo,5884032065,Kompally,2025-05-09 06:07:59,"Kataifi Cream Cheese Kunafa, Nutella Cream Cheese Kunafa",798
Hunar Sami,2070030324,Kompally,2025-05-20 00:38:04,"Nutella Cream Cheese Kunafa, Triangle Baklava, Kunafa Chocolate",1147
Elakshi Bhatia,5238361272,Kompally,2025-05-23 14:56:27,"Nutella Cream Cheese Kunafa, Pista Finger Baklava",798
Anahita Srivastava,853218979,Kompally,2025-05-25 20:27:27,Almond Basbousa,299
Lagan Devan,3793413154,Kompally,2025-05-30 09:57:57,"Nutella Cream Cheese Kunafa, Kunafa Chocolate, Triangle Baklava",1147
Nirvaan Kumer,+916193544252,Kompally,2025-05-09 15:41:25,"Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava",848
Nishith Dhingra,+915250919610,Kompally,2025-05-14 00:30:11,"Almond Basbousa, Triangle Baklava, Pista Finger Baklava",1097
Kiara Tripathi,2958566110,Kompally,2025-05-09 03:03:29,"Kunafa Chocolate, Almond Basbousa",648
