Customer Name,Mobile,Outlet,Order DateTime,Items,Total Price (INR)
Suhana Biswas,+911618021425,Kondapur,2025-05-05 20:15:38,Nutella Cream Cheese Kunafa,399
Mishti Wali,+914739396904,Kondapur,2025-05-01 18:19:42,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Ishaan Shetty,7909485098,Kondapur,2025-05-21 03:48:58,"Pista Finger Baklava, Triangle Baklava",798
Rasha Venkataraman,+915036380926,Kondapur,2025-05-05 08:16:18,"Almond Basbousa, Kunafa Chocolate, Nutella Cream Cheese Kunafa",1047
Ojas Sharaf,4652584081,Kondapur,2025-05-21 18:57:22,"Kataifi Cream Cheese Kunafa, Pista Finger Baklava",798
Ranbir Dube,9876310881,Kondapur,2025-05-25 19:57:46,Pista Finger Baklava,399
Akarsh Sant,3990610907,Kondapur,2025-05-02 07:31:11,"Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava, Kataifi Cream Cheese Kunafa",1247
Darshit Bassi,+917735779707,Kondapur,2025-05-02 14:29:07,Pista Finger Baklava,399
Manjari Brahmbhatt,+918092102230,Kondapur,2025-05-13 04:26:59,"Pista Finger Baklava, Kataifi Cream Cheese Kunafa, Kunafa Chocolate",1147
Yashvi Deo,1246505093,Kondapur,2025-05-13 11:44:28,"Triangle Baklava, Cashew Basbousa",698
Veer Jani,+910901974607,Kondapur,2025-05-02 04:40:29,"Nutella Cream Cheese Kunafa, Almond Basbousa",698
Shaan Chaudhari,229464687,Kondapur,2025-05-17 13:16:55,"Mixed Dry-Fruit Baklava, Kunafa Chocolate",798
Abram Lad,8039845306,Kondapur,2025-05-09 01:04:38,"Triangle Baklava, Kunafa Chocolate, Almond Basbousa",1047
Fateh Gour,+914380126962,Kondapur,2025-05-21 23:45:04,"Kunafa Chocolate, Mixed Dry-Fruit Baklava",798
Mamooty Keer,3185552400,Kondapur,2025-05-23 16:22:49,"Kataifi Cream Cheese Kunafa, Triangle Baklava",798
Jayan Venkatesh,741693728,Kondapur,2025-05-26 06:00:31,"Mixed Dry-Fruit Baklava, Kunafa Chocolate",798
Samiha Kari,7778676147,Kondapur,2025-05-20 05:26:30,"Almond Basbousa, Nutella Cream Cheese Kunafa, Triangle Baklava",1097
Divyansh Sachdev,+916019340838,Kondapur,2025-05-08 21:53:42,"Triangle Baklava, Kataifi Cream Cheese Kunafa, Kunafa Chocolate",1147
Oorja Chander,+914596501065,Kondapur,2025-05-20 02:12:58,"Cashew Basbousa, Triangle Baklava",698
Anaya Gulati,+918524395738,Kondapur,2025-05-03 08:41:24,"Pista Finger Baklava, Almond Basbousa",698
Uthkarsh Saran,3202933409,Kondapur,2025-05-08 14:59:15,"Mixed Dry-Fruit Baklava, Almond Basbousa, Pista Finger Baklava",1147
Krish Bhardwaj,+913970883879,Kondapur,2025-05-05 19:56:08,"Mixed Dry-Fruit Baklava, Nutella Cream Cheese Kunafa",848
Advika Chand,7768912658,Kondapur,2025-05-05 17:20:08,"Almond Basbousa, Triangle Baklava",698
Rania Mani,6569394626,Kondapur,2025-05-27 13:22:33,Cashew Basbousa,299
Ryan Golla,352983706,Kondapur,2025-05-09 03:19:53,"Triangle Baklava, Mixed Dry-Fruit Baklava, Kunafa Chocolate",1197
Himmat Sandal,8828129038,Kondapur,2025-05-10 06:26:24,"Triangle Baklava, Kataifi Cream Cheese Kunafa",798
Mamooty Vora,5698139957,Kondapur,2025-05-12 21:52:00,"Pista Finger Baklava, Triangle Baklava, Kunafa Chocolate",1147
Aaryahi Verma,5052913313,Kondapur,2025-05-06 05:13:47,"Pista Finger Baklava, Nutella Cream Cheese Kunafa",798
Krish Sankaran,2769640721,Kondapur,2025-05-12 18:13:54,"Kataifi Cream Cheese Kunafa, Triangle Baklava, Almond Basbousa",1097
Arnav Gill,6264309024,Kondapur,2025-05-18 04:44:18,"Cashew Basbousa, Kunafa Chocolate, Pista Finger Baklava",1047
Jhanvi Kumar,9755301431,Kondapur,2025-05-27 20:32:36,"Kunafa Chocolate, Cashew Basbousa",648
Ishaan Bhatt,+912280900643,Kondapur,2025-05-19 04:26:32,"Nutella Cream Cheese Kunafa, Mixed Dry-Fruit Baklava, Triangle Baklava",1247
Ivan Walla,8223673929,Kondapur,2025-05-16 19:53:44,Triangle Baklava,399
Armaan Ratti,+913539964106,Kondapur,2025-05-15 01:05:46,"Mixed Dry-Fruit Baklava, Almond Basbousa",748
Khushi Shukla,+912252267338,Kondapur,2025-05-16 03:46:41,"Cashew Basbousa, Almond Basbousa, Triangle Baklava",997
Gokul Thakkar,+919801897503,Kondapur,2025-05-26 05:12:09,Triangle Baklava,399
Nishith Dhar,+914477599207,Kondapur,2025-05-14 06:39:24,"Mixed Dry-Fruit Baklava, Triangle Baklava, Nutella Cream Cheese Kunafa",1247
Hrishita Bhalla,+918511582863,Kondapur,2025-05-10 13:23:05,Kunafa Chocolate,349
Kavya Rout,+913385849064,Kondapur,2025-05-28 10:45:12,Cashew Basbousa,299
Madhup Das,9781145434,Kondapur,2025-05-13 08:27:40,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Purab Chaudhary,+915842228367,Kondapur,2025-05-27 11:26:55,"Pista Finger Baklava, Kunafa Chocolate, Almond Basbousa",1047
Amira Shere,206458250,Kondapur,2025-05-22 00:12:23,"Nutella Cream Cheese Kunafa, Triangle Baklava, Cashew Basbousa",1097
Seher Dasgupta,+918166855534,Kondapur,2025-05-15 22:10:47,"Cashew Basbousa, Mixed Dry-Fruit Baklava",748
Keya Sastry,3005442145,Kondapur,2025-05-27 10:18:17,Kataifi Cream Cheese Kunafa,399
Vivaan Walia,+914042070017,Kondapur,2025-05-20 10:48:47,"Kataifi Cream Cheese Kunafa, Cashew Basbousa",698
Saira Handa,4675799163,Kondapur,2025-05-20 12:37:51,"Mixed Dry-Fruit Baklava, Kunafa Chocolate",798
Anay Gala,5240550873,Kondapur,2025-05-16 16:14:19,"Triangle Baklava, Mixed Dry-Fruit Baklava, Cashew Basbousa",1147
Hrishita Solanki,8538255897,Kondapur,2025-05-13 04:54:49,"Kunafa Chocolate, Kataifi Cream Cheese Kunafa, Mixed Dry-Fruit Baklava",1197
Faiyaz Rastogi,9168010912,Kondapur,2025-05-25 17:09:22,Cashew Basbousa,299
Vedika Lanka,3493586191,Kondapur,2025-05-22 06:40:53,Nutella Cream Cheese Kunafa,399
Eshani Saha,3236984427,Kondapur,2025-05-15 07:24:50,Kataifi Cream Cheese Kunafa,399
Drishya Kata,+918399902196,Kondapur,2025-05-15 01:48:47,Almond Basbousa,299
Raunak Sampath,9495199053,Kondapur,2025-05-25 03:44:32,"Cashew Basbousa, Kataifi Cream Cheese Kunafa",698
Sana Tandon,+916529032338,Kondapur,2025-05-11 03:04:15,Nutella Cream Cheese Kunafa,399
Raghav Sur,498747286,Kondapur,2025-05-31 04:20:35,"Triangle Baklava, Mixed Dry-Fruit Baklava, Kunafa Chocolate",1197
Shalv Bumb,9445099665,Kondapur,2025-05-17 06:29:22,"Mixed Dry-Fruit Baklava, Nutella Cream Cheese Kunafa, Triangle Baklava",1247
Mehul Vaidya,2812575771,Kondapur,2025-05-28 17:55:02,Kataifi Cream Cheese Kunafa,399
Anahi Bora,+915593078731,Kondapur,2025-05-23 06:04:24,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Charvi Sridhar,+914676596794,Kondapur,2025-05-29 09:59:53,"Mixed Dry-Fruit Baklava, Triangle Baklava",848
Yasmin Sankar,7540544784,Kondapur,2025-05-01 11:51:51,"Mixed Dry-Fruit Baklava, Cashew Basbousa",748
Aaina Brahmbhatt,5328854668,Kondapur,2025-05-08 05:06:00,"Nutella Cream Cheese Kunafa, Pista Finger Baklava",798
Divit Kannan,9596364166,Kondapur,2025-05-23 21:11:24,"Nutella Cream Cheese Kunafa, Triangle Baklava",798
Azad Shah,468585024,Kondapur,2025-05-04 17:27:30,Almond Basbousa,299
Mehul Shankar,7291604490,Kondapur,2025-05-29 10:38:04,Mixed Dry-Fruit Baklava,449
